"Release","Property","freq","count","class"
"2016-05-03","http://schema.org/review",3939,26066,"dul-Places"
"2016-05-03","http://schema.org/telephone",20938,26066,"dul-Places"
"2016-05-03","http://schema.org/url",5049,26066,"dul-Places"
"2016-05-03","http://www.3cixty.com/ontology#descriptionScore",26066,26066,"dul-Places"
"2016-05-03","http://www.3cixty.com/ontology#editorialScore",26066,26066,"dul-Places"
"2016-05-03","http://www.3cixty.com/ontology#posterScore",26066,26066,"dul-Places"
"2016-05-03","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",78198,26066,"dul-Places"
"2016-05-03","http://www.w3.org/2000/01/rdf-schema#label",26066,26066,"dul-Places"
"2016-05-03","http://www.w3.org/2002/07/owl#sameAs",25957,26066,"dul-Places"
"2016-05-03","http://www.w3.org/2003/01/geo/wgs84_pos#location",26066,26066,"dul-Places"
"2016-05-13","http://data.linkedevents.org/def/location#businessType",71147,26827,"dul-Places"
"2016-05-13","http://data.linkedevents.org/def/location#businessTypeTop",26831,26827,"dul-Places"
"2016-05-13","http://data.linkedevents.org/def/location#cell",26827,26827,"dul-Places"
"2016-05-13","http://linkedevents.org/ontology/poster",23781,26827,"dul-Places"
"2016-05-13","http://purl.org/dc/elements/1.1/identifier",26827,26827,"dul-Places"
"2016-05-13","http://purl.org/dc/elements/1.1/publisher",26827,26827,"dul-Places"
"2016-05-13","http://schema.org/aggregateRating",669,26827,"dul-Places"
"2016-05-13","http://schema.org/description",319,26827,"dul-Places"
"2016-05-13","http://schema.org/image",12491,26827,"dul-Places"
"2016-05-13","http://schema.org/interactionCount",6944,26827,"dul-Places"
"2016-05-13","http://schema.org/location",26770,26827,"dul-Places"
"2016-05-13","http://schema.org/openingHours",3233,26827,"dul-Places"
"2016-05-13","http://schema.org/priceRange",24,26827,"dul-Places"
"2016-05-13","http://schema.org/review",4026,26827,"dul-Places"
"2016-05-13","http://schema.org/telephone",21567,26827,"dul-Places"
"2016-05-13","http://schema.org/url",5511,26827,"dul-Places"
"2016-05-13","http://www.3cixty.com/ontology#descriptionScore",26827,26827,"dul-Places"
"2016-05-13","http://www.3cixty.com/ontology#editorialScore",26827,26827,"dul-Places"
"2016-05-13","http://www.3cixty.com/ontology#posterScore",26827,26827,"dul-Places"
"2016-05-13","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",80481,26827,"dul-Places"
"2016-05-13","http://www.w3.org/2000/01/rdf-schema#label",26827,26827,"dul-Places"
"2016-05-13","http://www.w3.org/2002/07/owl#sameAs",26719,26827,"dul-Places"
"2016-05-13","http://www.w3.org/2003/01/geo/wgs84_pos#location",26827,26827,"dul-Places"
"2016-05-27","http://data.linkedevents.org/def/location#businessType",68508,25828,"dul-Places"
"2016-05-27","http://data.linkedevents.org/def/location#businessTypeTop",25849,25828,"dul-Places"
"2016-05-27","http://data.linkedevents.org/def/location#cell",25828,25828,"dul-Places"
"2016-05-27","http://linkedevents.org/ontology/poster",22904,25828,"dul-Places"
"2016-05-27","http://purl.org/dc/elements/1.1/identifier",25828,25828,"dul-Places"
"2016-05-27","http://purl.org/dc/elements/1.1/publisher",25828,25828,"dul-Places"
"2016-05-27","http://schema.org/aggregateRating",646,25828,"dul-Places"
"2016-05-27","http://schema.org/description",301,25828,"dul-Places"
"2016-05-27","http://schema.org/image",12084,25828,"dul-Places"
"2016-05-27","http://schema.org/interactionCount",6656,25828,"dul-Places"
"2016-05-27","http://schema.org/location",25776,25828,"dul-Places"
"2016-05-27","http://schema.org/openingHours",3107,25828,"dul-Places"
"2016-05-27","http://schema.org/priceRange",22,25828,"dul-Places"
"2016-05-27","http://schema.org/review",3862,25828,"dul-Places"
"2016-05-27","http://schema.org/telephone",20767,25828,"dul-Places"
"2016-05-27","http://schema.org/url",5308,25828,"dul-Places"
"2016-05-27","http://www.3cixty.com/ontology#descriptionScore",25828,25828,"dul-Places"
"2016-05-27","http://www.3cixty.com/ontology#editorialScore",25828,25828,"dul-Places"
"2016-05-27","http://www.3cixty.com/ontology#posterScore",25828,25828,"dul-Places"
"2016-05-27","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",77484,25828,"dul-Places"
"2016-05-27","http://www.w3.org/2000/01/rdf-schema#label",25828,25828,"dul-Places"
"2016-05-27","http://www.w3.org/2002/07/owl#sameAs",25725,25828,"dul-Places"
"2016-05-27","http://www.w3.org/2003/01/geo/wgs84_pos#location",25828,25828,"dul-Places"
"2016-06-15","http://data.linkedevents.org/def/location#businessType",118756,41018,"dul-Places"
"2016-06-15","http://data.linkedevents.org/def/location#businessTypeTop",44591,41018,"dul-Places"
"2016-06-15","http://data.linkedevents.org/def/location#cell",41018,41018,"dul-Places"
"2016-06-15","http://linkedevents.org/ontology/poster",37570,41018,"dul-Places"
