"v2015-02-05","v2015-10-02","v2009-05-20","v2009-09-20","v2010-03-16","v2016-04-01","v2010-10-11","v2011-07-22","v2012-06-01","v2013-0-03","v2014-05-02","property"
0,0,0,38,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Canal/startPoint"
0,0,0,47,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cave/numberOfEntrances"
0,0,0,65,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/administrativeCollectivity"
0,0,0,96,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/administrativeDistrict"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/associationOfLocalGovernment"
0,0,0,108,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/cornishName"
0,0,0,32,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/crownDependency"
0,0,0,1709,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/day"
0,0,0,17,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/department"
0,0,0,21,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/distanceToCardiff"
0,0,0,5,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/distanceToEdinburgh"
0,0,0,16,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/distanceToLondon"
0,0,0,9,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/federalState"
0,0,0,541,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/frazioni"
0,0,0,582,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/gaelicName"
0,0,0,175,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/irishName"
0,0,0,7,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/jointCommunity"
0,0,0,23,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/manxName"
0,0,0,84,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/meaning"
0,0,0,6611,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/province"
0,0,0,6481,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/region"
0,0,0,1270,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/saint"
0,0,0,118,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/scottishName"
0,0,0,272,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/welshName"
0,0,0,5,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/industry"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/netIncome"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/owner"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/parentCompany"
0,0,0,13,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/product"
0,0,0,537,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Country/anthem"
0,0,0,37,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Country/currency"
0,0,0,13,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Country/ethnicGroupsInYear"
0,0,0,695,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Country/governmentType"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Disease/diseasesdb"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Disease/emedicineSubject"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Disease/emedicineTopic"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Disease/meshId"
0,0,0,106,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/city"
0,0,0,5,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/closed"
0,0,0,75,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/colours"
0,0,0,5,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/coordinates"
0,0,0,62,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/country"
0,0,0,31,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/county"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/dean"
0,0,0,92,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/established"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/graduates"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/head"
0,0,0,64,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/mascot"
0,0,0,19,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/nickname"
0,0,0,35,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/principal"
0,0,0,28,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/province"
0,0,0,23,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/sport"
0,0,0,13,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/staff"
0,0,0,77,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/state"
0,0,0,66,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/students"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EthnicGroup/populationPlace"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EthnicGroup/related"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EthnicGroup/totalPopulation"
0,0,0,26,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/date"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/endDate"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/location"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/startDate"
0,0,0,19553,0,0,0,0,0,0,0," http://dbpedia.org/ontology/HistoricPlace/added"
0,0,0,2428,0,0,0,0,0,0,0," http://dbpedia.org/ontology/HistoricPlace/architect"
0,0,0,78,0,0,0,0,0,0,0," http://dbpedia.org/ontology/HistoricPlace/numberOfVisitors"
0,0,0,899,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Hospital/bedCount"
0,0,0,77,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Hospital/country"
0,0,0,472,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Hospital/region"
0,0,0,293,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Hospital/state"
18054,22700,0,10,23124,0,0,15559,16549,17760,20796," http://dbpedia.org/ontology/Infrastructure/length"
0,0,0,976,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Island/archipelago"
0,0,0,363,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Island/country"
0,0,0,256,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Island/majorIsland"
0,0,0,91,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Island/numberOfIslands"
352,1042,0,664,1049,717,749,798,869,972,997," http://dbpedia.org/ontology/Lake/areaOfCatchment"
0,0,0,99,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/frozen"
0,0,0,2289,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/inflow"
0,0,0,203,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/island"
0,0,0,2056,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/outflow"
619,1588,0,961,1592,1060,1105,1149,1221,1303,1526," http://dbpedia.org/ontology/Lake/shoreLength"
724,1382,0,991,1401,0,911,980,1091,1168,1306," http://dbpedia.org/ontology/Lake/volume"
0,0,0,121,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/associatedRocket"
0,0,0,46,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/firstLaunchDate"
0,0,0,54,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/firstLaunchRocket"
0,0,0,48,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/lastLaunchDate"
0,0,0,61,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/lastLaunchRocket"
0,0,0,61,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/launchSite"
0,0,0,40,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/launches"
0,0,0,39,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/numberOfPads"
0,0,0,83,0,0,0,0,0,0,0," http://dbpedia.org/ontology/LaunchPad/operator"
