"","p","dep","number_of_distinct_entity","freq","normFreq","mean","sd","sem"
"52","http://purl.org/dc/elements/1.1/publisher","2016-05-27",25828,25828,1,1,0,0
"53","http://schema.org/aggregateRating","2016-03-22",20692,435,0.0210226174366905,0.0269844537410595,0.00570833383612687,0.00201820078240096
"54","http://schema.org/aggregateRating","2016-05-27",25828,646,0.0250116153012235,0.0269844537410595,0.00570833383612687,0.00201820078240096
"55","http://schema.org/aggregateRating","2016-05-13",26827,669,0.0249375629030454,0.0269844537410595,0.00570833383612687,0.00201820078240096
"56","http://schema.org/aggregateRating","2016-06-15",41018,1280,0.0312058120825004,0.0269844537410595,0.00570833383612687,0.00201820078240096
"57","http://schema.org/aggregateRating","2016-04-09",27858,798,0.0286452724531553,0.0269844537410595,0.00570833383612687,0.00201820078240096
"58","http://schema.org/aggregateRating","2016-05-03",26066,672,0.025780710504105,0.0269844537410595,0.00570833383612687,0.00201820078240096
"59","http://schema.org/aggregateRating","2016-09-09",44968,1720,0.0382494218110656,0.0269844537410595,0.00570833383612687,0.00201820078240096
"60","http://schema.org/aggregateRating","2016-03-11",20692,435,0.0210226174366905,0.0269844537410595,0.00570833383612687,0.00201820078240096
"61","http://schema.org/description","2016-04-09",27858,345,0.0123842343312513,0.0127479313444699,0.00159984044820809,0.000565629014872232
"62","http://schema.org/description","2016-03-22",20692,311,0.0150299632708293,0.0127479313444699,0.00159984044820809,0.000565629014872232
"63","http://schema.org/description","2016-05-27",25828,301,0.0116540188942233,0.0127479313444699,0.00159984044820809,0.000565629014872232
"64","http://schema.org/description","2016-05-13",26827,319,0.0118910053304507,0.0127479313444699,0.00159984044820809,0.000565629014872232
"65","http://schema.org/description","2016-09-09",44968,600,0.0133428215619996,0.0127479313444699,0.00159984044820809,0.000565629014872232
"66","http://schema.org/description","2016-03-11",20692,311,0.0150299632708293,0.0127479313444699,0.00159984044820809,0.000565629014872232
"67","http://schema.org/description","2016-05-03",26066,314,0.0120463438962633,0.0127479313444699,0.00159984044820809,0.000565629014872232
"68","http://schema.org/description","2016-06-15",41018,435,0.0106051001999122,0.0127479313444699,0.00159984044820809,0.000565629014872232
"69","http://schema.org/image","2016-04-09",27858,13397,0.480903151697896,0.407072196418373,0.182492778536859,0.0645209406104939
"70","http://schema.org/image","2016-03-22",20692,2473,0.11951478832399,0.407072196418373,0.182492778536859,0.0645209406104939
"71","http://schema.org/image","2016-06-15",41018,23470,0.572187819981472,0.407072196418373,0.182492778536859,0.0645209406104939
"72","http://schema.org/image","2016-03-11",20692,2473,0.11951478832399,0.407072196418373,0.182492778536859,0.0645209406104939
"73","http://schema.org/image","2016-05-27",25828,12084,0.46786433328171,0.407072196418373,0.182492778536859,0.0645209406104939
"74","http://schema.org/image","2016-05-13",26827,12491,0.465613001826518,0.407072196418373,0.182492778536859,0.0645209406104939
"75","http://schema.org/image","2016-09-09",44968,25290,0.562399928838285,0.407072196418373,0.182492778536859,0.0645209406104939
"76","http://schema.org/image","2016-05-03",26066,12214,0.468579759073122,0.407072196418373,0.182492778536859,0.0645209406104939
"77","http://schema.org/interactionCount","2016-05-13",26827,6944,0.25884370224028,0.282940087545827,0.0514781984999032,0.0182002916212744
"78","http://schema.org/interactionCount","2016-03-22",20692,6919,0.33438043688382,0.282940087545827,0.0514781984999032,0.0182002916212744
"79","http://schema.org/interactionCount","2016-05-03",26066,7985,0.306337757998926,0.282940087545827,0.0514781984999032,0.0182002916212744
"80","http://schema.org/interactionCount","2016-04-09",27858,8999,0.323031086222988,0.282940087545827,0.0514781984999032,0.0182002916212744
"81","http://schema.org/interactionCount","2016-09-09",44968,11844,0.263387297633873,0.282940087545827,0.0514781984999032,0.0182002916212744
"82","http://schema.org/interactionCount","2016-03-11",20692,6919,0.33438043688382,0.282940087545827,0.0514781984999032,0.0182002916212744
"83","http://schema.org/interactionCount","2016-06-15",41018,7607,0.185455166024672,0.282940087545827,0.0514781984999032,0.0182002916212744
"84","http://schema.org/interactionCount","2016-05-27",25828,6656,0.257704816478241,0.282940087545827,0.0514781984999032,0.0182002916212744
"85","http://schema.org/location","2016-03-22",20692,20666,0.998743475739416,0.997495534060219,0.00155723754360048,0.000550566613499091
"86","http://schema.org/location","2016-04-09",27858,27793,0.997666738459329,0.997495534060219,0.00155723754360048,0.000550566613499091
"87","http://schema.org/location","2016-03-11",20692,20666,0.998743475739416,0.997495534060219,0.00155723754360048,0.000550566613499091
"88","http://schema.org/location","2016-06-15",41018,40903,0.997196352820713,0.997495534060219,0.00155723754360048,0.000550566613499091
"89","http://schema.org/location","2016-09-09",44968,44692,0.99386230208148,0.997495534060219,0.00155723754360048,0.000550566613499091
"90","http://schema.org/location","2016-05-13",26827,26770,0.997875274909606,0.997495534060219,0.00155723754360048,0.000550566613499091
"91","http://schema.org/location","2016-05-27",25828,25776,0.997986681121264,0.997495534060219,0.00155723754360048,0.000550566613499091
"92","http://schema.org/location","2016-05-03",26066,26011,0.997889971610527,0.997495534060219,0.00155723754360048,0.000550566613499091
"93","http://schema.org/openingHours","2016-06-15",41018,6459,0.15746745331318,0.124106071453245,0.0161058085800441,0.00569426323172081
"94","http://schema.org/openingHours","2016-04-09",27858,3173,0.113899059516117,0.124106071453245,0.0161058085800441,0.00569426323172081
"95","http://schema.org/openingHours","2016-03-22",20692,2363,0.114198724144597,0.124106071453245,0.0161058085800441,0.00569426323172081
"96","http://schema.org/openingHours","2016-09-09",44968,6281,0.1396771037182,0.124106071453245,0.0161058085800441,0.00569426323172081
"97","http://schema.org/openingHours","2016-03-11",20692,2363,0.114198724144597,0.124106071453245,0.0161058085800441,0.00569426323172081
"98","http://schema.org/openingHours","2016-05-03",26066,2935,0.11259878769278,0.124106071453245,0.0161058085800441,0.00569426323172081
"99","http://schema.org/openingHours","2016-05-13",26827,3233,0.120512916091997,0.124106071453245,0.0161058085800441,0.00569426323172081
"100","http://schema.org/openingHours","2016-05-27",25828,3107,0.120295803004491,0.124106071453245,0.0161058085800441,0.00569426323172081
"101","http://schema.org/priceRange","2016-05-03",26066,22,0.000844011355789151,0.000988172069428176,0.000323182198944591,0.00011426216221625
"102","http://schema.org/priceRange","2016-06-15",41018,67,0.00163342922619338,0.000988172069428176,0.000323182198944591,0.00011426216221625
"103","http://schema.org/priceRange","2016-04-09",27858,25,0.000897408284873286,0.000988172069428176,0.000323182198944591,0.00011426216221625
"104","http://schema.org/priceRange","2016-09-09",44968,60,0.00133428215619996,0.000988172069428176,0.000323182198944591,0.00011426216221625
"105","http://schema.org/priceRange","2016-05-27",25828,22,0.000851788756388416,0.000988172069428176,0.000323182198944591,0.00011426216221625
"106","http://schema.org/priceRange","2016-03-22",20692,15,0.0007249178426445,0.000988172069428176,0.000323182198944591,0.00011426216221625
"107","http://schema.org/priceRange","2016-05-13",26827,24,0.000894621090692213,0.000988172069428176,0.000323182198944591,0.00011426216221625
"108","http://schema.org/priceRange","2016-03-11",20692,15,0.0007249178426445,0.000988172069428176,0.000323182198944591,0.00011426216221625
"109","http://schema.org/review","2016-05-03",26066,3939,0.151116396838794,0.161371451800277,0.0497997948621147,0.0176068863243502
"110","http://schema.org/review","2016-04-09",27858,4332,0.155502907602843,0.161371451800277,0.0497997948621147,0.0176068863243502
"111","http://schema.org/review","2016-05-13",26827,4026,0.150072687963619,0.161371451800277,0.0497997948621147,0.0176068863243502
