"","p","dep","freq","number_of_distinct_entity","normFreq","mean","sd","sem"
"54","http://linkedevents.org/ontology/involvedAgent","2016-05-27",39,1883,0.0207116303770579,0.0367363681965725,0.0377699059728819,0.0133536783191015
"55","http://linkedevents.org/ontology/involvedAgent","2016-05-03",28,1301,0.02152190622598,0.0367363681965725,0.0377699059728819,0.0133536783191015
"56","http://linkedevents.org/ontology/involvedAgent","2016-04-09",28,1301,0.02152190622598,0.0367363681965725,0.0377699059728819,0.0133536783191015
"57","http://linkedevents.org/ontology/involvedAgent","2016-09-09",42,689,0.0609579100145138,0.0367363681965725,0.0377699059728819,0.0133536783191015
"58","http://linkedevents.org/ontology/involvedAgent","2016-03-22",7,605,0.0115702479338843,0.0367363681965725,0.0377699059728819,0.0133536783191015
"59","http://linkedevents.org/ontology/poster","2016-05-13",1414,1409,1.00354861603974,0.945963221476125,0.159385165406994,0.0563511656399124
"60","http://linkedevents.org/ontology/poster","2016-05-03",1306,1301,1.00384319754035,0.945963221476125,0.159385165406994,0.0563511656399124
"61","http://linkedevents.org/ontology/poster","2016-05-27",1888,1883,1.00265533722783,0.945963221476125,0.159385165406994,0.0563511656399124
"62","http://linkedevents.org/ontology/poster","2016-09-09",380,689,0.551523947750363,0.945963221476125,0.159385165406994,0.0563511656399124
"63","http://linkedevents.org/ontology/poster","2016-03-11",605,605,1,0.945963221476125,0.159385165406994,0.0563511656399124
"64","http://linkedevents.org/ontology/poster","2016-04-09",1306,1301,1.00384319754035,0.945963221476125,0.159385165406994,0.0563511656399124
"65","http://linkedevents.org/ontology/poster","2016-06-15",2187,2182,1.00229147571036,0.945963221476125,0.159385165406994,0.0563511656399124
"66","http://linkedevents.org/ontology/poster","2016-03-22",605,605,1,0.945963221476125,0.159385165406994,0.0563511656399124
"67","http://purl.org/dc/elements/1.1/description","2016-05-13",1322,1409,0.938254080908446,0.942271208944166,0.00789601520182422,0.00279166294678099
"68","http://purl.org/dc/elements/1.1/description","2016-05-03",1222,1301,0.939277478862414,0.942271208944166,0.00789601520182422,0.00279166294678099
"69","http://purl.org/dc/elements/1.1/description","2016-09-09",650,689,0.943396226415094,0.942271208944166,0.00789601520182422,0.00279166294678099
"70","http://purl.org/dc/elements/1.1/description","2016-03-11",575,605,0.950413223140496,0.942271208944166,0.00789601520182422,0.00279166294678099
"71","http://purl.org/dc/elements/1.1/description","2016-04-09",1222,1301,0.939277478862414,0.942271208944166,0.00789601520182422,0.00279166294678099
"72","http://purl.org/dc/elements/1.1/description","2016-06-15",2024,2182,0.927589367552704,0.942271208944166,0.00789601520182422,0.00279166294678099
"73","http://purl.org/dc/elements/1.1/description","2016-05-27",1788,1883,0.949548592671269,0.942271208944166,0.00789601520182422,0.00279166294678099
"74","http://purl.org/dc/elements/1.1/description","2016-03-22",575,605,0.950413223140496,0.942271208944166,0.00789601520182422,0.00279166294678099
"75","http://purl.org/dc/elements/1.1/identifier","2016-05-27",468,1883,0.248539564524695,0.419633808263524,0.212481275239118,0.12267612145706
"76","http://purl.org/dc/elements/1.1/identifier","2016-06-15",770,2182,0.35288725939505,0.419633808263524,0.212481275239118,0.12267612145706
"77","http://purl.org/dc/elements/1.1/identifier","2016-09-09",453,689,0.657474600870827,0.419633808263524,0.212481275239118,0.12267612145706
"78","http://purl.org/dc/elements/1.1/issued","2016-09-09",684,689,0.992743105950653,1.05208707708594,0.0594049294691246,0.0210028142317633
"79","http://purl.org/dc/elements/1.1/issued","2016-03-11",605,605,1,1.05208707708594,0.0594049294691246,0.0210028142317633
"80","http://purl.org/dc/elements/1.1/issued","2016-04-09",1365,1301,1.04919292851653,1.05208707708594,0.0594049294691246,0.0210028142317633
"81","http://purl.org/dc/elements/1.1/issued","2016-06-15",2475,2182,1.13428047662695,1.05208707708594,0.0594049294691246,0.0210028142317633
"82","http://purl.org/dc/elements/1.1/issued","2016-05-03",1365,1301,1.04919292851653,1.05208707708594,0.0594049294691246,0.0210028142317633
"83","http://purl.org/dc/elements/1.1/issued","2016-05-27",2159,1883,1.1465746149761,1.05208707708594,0.0594049294691246,0.0210028142317633
"84","http://purl.org/dc/elements/1.1/issued","2016-03-22",605,605,1,1.05208707708594,0.0594049294691246,0.0210028142317633
"85","http://purl.org/dc/elements/1.1/issued","2016-05-13",1472,1409,1.04471256210078,1.05208707708594,0.0594049294691246,0.0210028142317633
"86","http://purl.org/dc/elements/1.1/publisher","2016-03-22",605,605,1,1,0,0
"87","http://purl.org/dc/elements/1.1/publisher","2016-06-15",2182,2182,1,1,0,0
"88","http://purl.org/dc/elements/1.1/publisher","2016-05-13",1409,1409,1,1,0,0
"89","http://purl.org/dc/elements/1.1/publisher","2016-05-27",1883,1883,1,1,0,0
"90","http://purl.org/dc/elements/1.1/publisher","2016-04-09",1301,1301,1,1,0,0
"91","http://purl.org/dc/elements/1.1/publisher","2016-09-09",689,689,1,1,0,0
"92","http://purl.org/dc/elements/1.1/publisher","2016-03-11",605,605,1,1,0,0
"93","http://purl.org/dc/elements/1.1/publisher","2016-05-03",1301,1301,1,1,0,0
"94","http://purl.org/dc/elements/1.1/subject","2016-05-27",3252,1883,1.72703133297929,1.89757842790548,0.223954522944716,0.0791798809258033
"95","http://purl.org/dc/elements/1.1/subject","2016-09-09",1020,689,1.48040638606676,1.89757842790548,0.223954522944716,0.0791798809258033
"96","http://purl.org/dc/elements/1.1/subject","2016-05-13",2832,1409,2.00993612491128,1.89757842790548,0.223954522944716,0.0791798809258033
"97","http://purl.org/dc/elements/1.1/subject","2016-03-11",1247,605,2.06115702479339,1.89757842790548,0.223954522944716,0.0791798809258033
"98","http://purl.org/dc/elements/1.1/subject","2016-06-15",3762,2182,1.72410632447296,1.89757842790548,0.223954522944716,0.0791798809258033
"99","http://purl.org/dc/elements/1.1/subject","2016-05-03",2678,1301,2.05841660261337,1.89757842790548,0.223954522944716,0.0791798809258033
"100","http://purl.org/dc/elements/1.1/subject","2016-03-22",1247,605,2.06115702479339,1.89757842790548,0.223954522944716,0.0791798809258033
"101","http://purl.org/dc/elements/1.1/subject","2016-04-09",2678,1301,2.05841660261337,1.89757842790548,0.223954522944716,0.0791798809258033
"102","http://www.3cixty.com/ontology#descriptionScore","2016-05-27",1883,1883,1,1,0,0
"103","http://www.3cixty.com/ontology#descriptionScore","2016-04-09",1301,1301,1,1,0,0
"104","http://www.3cixty.com/ontology#descriptionScore","2016-05-13",1409,1409,1,1,0,0
"105","http://www.3cixty.com/ontology#descriptionScore","2016-03-11",605,605,1,1,0,0
"106","http://www.3cixty.com/ontology#descriptionScore","2016-09-09",689,689,1,1,0,0
"107","http://www.3cixty.com/ontology#descriptionScore","2016-05-03",1301,1301,1,1,0,0
"108","http://www.3cixty.com/ontology#descriptionScore","2016-03-22",605,605,1,1,0,0
"109","http://www.3cixty.com/ontology#descriptionScore","2016-06-15",2182,2182,1,1,0,0
"110","http://www.3cixty.com/ontology#posterScore","2016-05-03",1301,1301,1,1,0,0
"111","http://www.3cixty.com/ontology#posterScore","2016-05-13",1409,1409,1,1,0,0
"112","http://www.3cixty.com/ontology#posterScore","2016-03-22",605,605,1,1,0,0
"113","http://www.3cixty.com/ontology#posterScore","2016-04-09",1301,1301,1,1,0,0
"114","http://www.3cixty.com/ontology#posterScore","2016-09-09",689,689,1,1,0,0
"115","http://www.3cixty.com/ontology#posterScore","2016-06-15",2182,2182,1,1,0,0
"116","http://www.3cixty.com/ontology#posterScore","2016-03-11",605,605,1,1,0,0
"117","http://www.3cixty.com/ontology#posterScore","2016-05-27",1883,1883,1,1,0,0
"118","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-05-03",2602,1301,2,2,0,0
"119","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-05-27",3766,1883,2,2,0,0
