"count201504","count201510","count33","count34","count35","count36","count37","count38","count39","count40","count43","id","property"
0,0,0,41,0,0,0,0,0,0,0,320," http://dbpedia.org/ontology/Cricketer/debutDate"
0,0,0,46,0,0,0,0,0,0,0,321," http://dbpedia.org/ontology/Cricketer/debutYear"
0,0,0,47,0,0,0,0,0,0,0,322," http://dbpedia.org/ontology/Cricketer/fc"
0,0,0,47,0,0,0,0,0,0,0,323," http://dbpedia.org/ontology/Cricketer/fcRuns"
0,0,0,41,0,0,0,0,0,0,0,324," http://dbpedia.org/ontology/Cricketer/lastDate"
0,0,0,46,0,0,0,0,0,0,0,325," http://dbpedia.org/ontology/Cricketer/lastYear"
0,0,0,1,0,0,0,0,0,0,0,399," http://dbpedia.org/ontology/Event/date"
0,0,0,22,0,0,0,0,0,0,0,406," http://dbpedia.org/ontology/FigureSkater/choreographer"
0,0,0,32,0,0,0,0,0,0,0,407," http://dbpedia.org/ontology/FigureSkater/coach"
0,0,0,7,0,0,0,0,0,0,0,408," http://dbpedia.org/ontology/FigureSkater/country"
0,0,0,15,0,0,0,0,0,0,0,409," http://dbpedia.org/ontology/FigureSkater/currentPartner"
0,0,0,12,0,0,0,0,0,0,0,410," http://dbpedia.org/ontology/FigureSkater/formerChoreographer"
0,0,0,70,0,0,0,0,0,0,0,411," http://dbpedia.org/ontology/FigureSkater/formerCoach"
0,0,0,31,0,0,0,0,0,0,0,412," http://dbpedia.org/ontology/FigureSkater/formerPartner"
0,0,0,1,0,0,0,0,0,0,0,419," http://dbpedia.org/ontology/Film/distributor"
0,0,0,174,0,0,0,0,0,0,0,437," http://dbpedia.org/ontology/FootballPlayer/college"
0,0,0,2,0,0,0,0,0,0,0,438," http://dbpedia.org/ontology/FootballPlayer/debutTeam"
0,0,0,87,0,0,0,0,0,0,0,439," http://dbpedia.org/ontology/FootballPlayer/debutYear"
0,0,0,78,0,0,0,0,0,0,0,440," http://dbpedia.org/ontology/FootballPlayer/draftPick"
0,0,0,78,0,0,0,0,0,0,0,441," http://dbpedia.org/ontology/FootballPlayer/draftRound"
0,0,0,78,0,0,0,0,0,0,0,442," http://dbpedia.org/ontology/FootballPlayer/draftYear"
0,0,0,62,0,0,0,0,0,0,0,444," http://dbpedia.org/ontology/FootballPlayer/finalYear"
0,0,0,8,0,0,0,0,0,0,0,445," http://dbpedia.org/ontology/FootballPlayer/highschool"
0,0,0,59,0,0,0,0,0,0,0,446," http://dbpedia.org/ontology/FootballPlayer/pastTeam"
0,0,0,25,0,0,0,0,0,0,0,447," http://dbpedia.org/ontology/FootballPlayer/status"
0,0,0,371,0,0,0,0,0,0,0,450," http://dbpedia.org/ontology/FootballPlayer/team"
0,0,0,13,0,0,0,0,0,0,0,451," http://dbpedia.org/ontology/FootballPlayer/undraftedYear"
0,0,0,6,0,0,0,0,0,0,0,462," http://dbpedia.org/ontology/FormulaOneRacer/championships"
0,0,0,6,0,0,0,0,0,0,0,463," http://dbpedia.org/ontology/FormulaOneRacer/fastestLap"
0,0,0,6,0,0,0,0,0,0,0,464," http://dbpedia.org/ontology/FormulaOneRacer/firstRace"
0,0,0,6,0,0,0,0,0,0,0,467," http://dbpedia.org/ontology/FormulaOneRacer/lastRace"
0,0,0,6,0,0,0,0,0,0,0,470," http://dbpedia.org/ontology/FormulaOneRacer/podiums"
0,0,0,6,0,0,0,0,0,0,0,471," http://dbpedia.org/ontology/FormulaOneRacer/poles"
0,0,0,6,0,0,0,0,0,0,0,472," http://dbpedia.org/ontology/FormulaOneRacer/races"
0,0,0,6,0,0,0,0,0,0,0,473," http://dbpedia.org/ontology/FormulaOneRacer/wins"
0,0,0,1,0,0,0,0,0,0,0,512," http://dbpedia.org/ontology/HistoricPlace/added"
0,0,0,138,0,0,0,0,0,0,0,519," http://dbpedia.org/ontology/IceHockeyPlayer/draft"
0,0,0,127,0,0,0,0,0,0,0,520," http://dbpedia.org/ontology/IceHockeyPlayer/draftTeam"
0,0,0,131,0,0,0,0,0,0,0,521," http://dbpedia.org/ontology/IceHockeyPlayer/draftYear"
0,0,0,10,0,0,0,0,0,0,0,522," http://dbpedia.org/ontology/IceHockeyPlayer/hallOfFame"
0,0,0,115,0,0,0,0,0,0,0,523," http://dbpedia.org/ontology/IceHockeyPlayer/league"
0,0,0,14,0,0,0,0,0,0,0,524," http://dbpedia.org/ontology/IceHockeyPlayer/prospectLeague"
0,0,0,14,0,0,0,0,0,0,0,525," http://dbpedia.org/ontology/IceHockeyPlayer/prospectTeam"
0,0,0,191,0,0,0,0,0,0,0,526," http://dbpedia.org/ontology/IceHockeyPlayer/shoots"
0,0,0,3,0,0,0,0,0,0,0,527," http://dbpedia.org/ontology/IceHockeyPlayer/whaDraft"
0,0,0,3,0,0,0,0,0,0,0,528," http://dbpedia.org/ontology/IceHockeyPlayer/whaDraftTeam"
0,0,0,3,0,0,0,0,0,0,0,529," http://dbpedia.org/ontology/IceHockeyPlayer/whaDraftYear"
1,1,0,0,0,0,0,0,0,1,1,530," http://dbpedia.org/ontology/Infrastructure/length"
0,0,0,0,0,0,0,0,1,1,0,574," http://dbpedia.org/ontology/MeanOfTransportation/length"
0,0,0,1,0,0,0,0,0,0,0,584," http://dbpedia.org/ontology/MilitaryConflict/causalties"
0,0,0,2,0,0,0,0,0,0,0,585," http://dbpedia.org/ontology/MilitaryConflict/combatant"
0,0,0,1,0,0,0,0,0,0,0,586," http://dbpedia.org/ontology/MilitaryConflict/commander"
0,0,0,1,0,0,0,0,0,0,0,588," http://dbpedia.org/ontology/MilitaryConflict/partOf"
0,0,0,2,0,0,0,0,0,0,0,589," http://dbpedia.org/ontology/MilitaryConflict/place"
0,0,0,1,0,0,0,0,0,0,0,590," http://dbpedia.org/ontology/MilitaryConflict/result"
0,0,0,1,0,0,0,0,0,0,0,592," http://dbpedia.org/ontology/MilitaryConflict/strength"
0,0,0,4182,0,0,0,0,0,0,0,594," http://dbpedia.org/ontology/MilitaryPerson/allegiance"
0,0,0,8644,0,0,0,0,0,0,0,595," http://dbpedia.org/ontology/MilitaryPerson/battles"
0,0,0,3872,0,0,0,0,0,0,0,596," http://dbpedia.org/ontology/MilitaryPerson/branch"
0,0,0,1488,0,0,0,0,0,0,0,597," http://dbpedia.org/ontology/MilitaryPerson/commands"
0,0,0,3627,0,0,0,0,0,0,0,598," http://dbpedia.org/ontology/MilitaryPerson/militaryRank"
0,0,0,2813,0,0,0,0,0,0,0,599," http://dbpedia.org/ontology/MilitaryPerson/notesOnPlaceOfBurial"
0,0,0,2104,0,0,0,0,0,0,0,600," http://dbpedia.org/ontology/MilitaryPerson/serviceYears"
0,0,0,1867,0,0,0,0,0,0,0,601," http://dbpedia.org/ontology/MilitaryPerson/unit"
0,0,0,2,0,0,0,0,0,0,0,640," http://dbpedia.org/ontology/Monarch/dateOfBurial"
0,0,0,4,0,0,0,0,0,0,0,642," http://dbpedia.org/ontology/Monarch/placeOfBurial"
0,0,0,2219,0,0,0,0,0,0,0,659," http://dbpedia.org/ontology/MusicalArtist/associatedBand"
0,0,0,2219,0,0,0,0,0,0,0,660," http://dbpedia.org/ontology/MusicalArtist/associatedMusicalArtist"
0,0,0,944,0,0,0,0,0,0,0,661," http://dbpedia.org/ontology/MusicalArtist/background"
0,0,0,7,0,0,0,0,0,0,0,666," http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete/college"
0,0,0,1,0,0,0,0,0,0,0,667," http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete/formerHighschool"
0,0,0,11,0,0,0,0,0,0,0,668," http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete/highschool"
0,0,0,7,0,0,0,0,0,0,0,669," http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete/sport"
0,0,0,49,0,0,0,0,0,0,0,682," http://dbpedia.org/ontology/OfficeHolder/otherParty"
0,0,0,5,0,0,0,0,0,0,0,711," http://dbpedia.org/ontology/Organisation/foundationDate"
0,0,0,3,0,0,0,0,0,0,0,714," http://dbpedia.org/ontology/Organisation/foundationPlace"
0,0,0,4,0,0,0,0,0,0,0,717," http://dbpedia.org/ontology/Organisation/keyPersonPosition"
0,0,0,4,0,0,0,0,0,0,0,718," http://dbpedia.org/ontology/Organisation/location"
0,0,0,1,0,0,0,0,0,0,0,722," http://dbpedia.org/ontology/Organisation/numberOfEmployees"
0,0,0,1,0,0,0,0,0,0,0,726," http://dbpedia.org/ontology/Organisation/revenue"
0,0,0,5740,0,0,0,0,0,0,0,729," http://dbpedia.org/ontology/Person/activeYearsEndDate"
0,0,0,5781,0,0,0,0,0,0,0,730," http://dbpedia.org/ontology/Person/activeYearsStartDate"
0,0,0,2545,0,0,0,0,0,0,0,731," http://dbpedia.org/ontology/Person/almaMater"
0,0,0,5530,0,0,0,0,0,0,0,732," http://dbpedia.org/ontology/Person/award"
0,0,0,18743,0,0,0,0,0,0,0,733," http://dbpedia.org/ontology/Person/birthDate"
0,0,0,1416,0,0,0,0,0,0,0,734," http://dbpedia.org/ontology/Person/birthName"
0,0,0,25462,0,0,0,0,0,0,0,735," http://dbpedia.org/ontology/Person/birthPlace"
0,0,0,10,0,0,0,0,0,0,0,736," http://dbpedia.org/ontology/Person/boards"
0,0,0,386,0,0,0,0,0,0,0,737," http://dbpedia.org/ontology/Person/child"
0,0,0,197,0,0,0,0,0,0,0,738," http://dbpedia.org/ontology/Person/citizenship"
0,0,0,83,0,0,0,0,0,0,0,739," http://dbpedia.org/ontology/Person/deathCause"
0,0,0,10330,0,0,0,0,0,0,0,740," http://dbpedia.org/ontology/Person/deathDate"
