"count201504","count201510","count33","count34","count35","count35.1","count36","count37","count38","count39","count40","id","property"
0,0,0,18876,0,0,0,0,0,0,0,422," http://dbpedia.org/ontology/Film/imdbid"
0,0,0,24788,0,0,0,0,0,0,0,423," http://dbpedia.org/ontology/Film/music"
0,0,0,907,0,0,0,0,0,0,0,424," http://dbpedia.org/ontology/Film/narrator"
0,0,0,37429,0,0,0,0,0,0,0,425," http://dbpedia.org/ontology/Film/producer"
0,0,0,141863,0,0,0,0,0,0,0,426," http://dbpedia.org/ontology/Film/starring"
0,0,0,49777,0,0,0,0,0,0,0,427," http://dbpedia.org/ontology/Film/writer"
5,35,0,0,45,0,0,0,0,0,0,530," http://dbpedia.org/ontology/Infrastructure/length"
0,3,0,0,3,0,0,0,0,0,0,537," http://dbpedia.org/ontology/Lake/areaOfCatchment"
1,3,0,0,3,0,0,0,0,0,0,542," http://dbpedia.org/ontology/Lake/shoreLength"
1,7,0,0,7,0,0,0,0,0,0,543," http://dbpedia.org/ontology/Lake/volume"
0,0,0,548,0,0,0,0,0,0,0,567," http://dbpedia.org/ontology/Magazine/editor"
0,0,0,770,0,0,0,0,0,0,0,568," http://dbpedia.org/ontology/Magazine/editorTitle"
0,0,0,716,0,0,0,0,0,0,0,569," http://dbpedia.org/ontology/Magazine/issn"
0,0,0,118,0,0,0,0,0,0,0,570," http://dbpedia.org/ontology/Magazine/previousEditor"
2,4,0,0,4,0,0,0,0,0,0,571," http://dbpedia.org/ontology/MeanOfTransportation/diameter"
8,75,0,0,68,0,0,0,0,0,0,572," http://dbpedia.org/ontology/MeanOfTransportation/height"
7,202,0,0,229,0,0,0,0,0,0,574," http://dbpedia.org/ontology/MeanOfTransportation/length"
2,4,0,0,4,0,0,0,0,0,0,576," http://dbpedia.org/ontology/MeanOfTransportation/mass"
6,31,0,0,30,0,0,0,0,0,0,582," http://dbpedia.org/ontology/MeanOfTransportation/weight"
5,70,0,0,62,0,0,0,0,0,0,583," http://dbpedia.org/ontology/MeanOfTransportation/width"
0,0,0,6,0,0,0,0,0,0,0,584," http://dbpedia.org/ontology/MilitaryConflict/causalties"
0,0,0,18,0,0,0,0,0,0,0,585," http://dbpedia.org/ontology/MilitaryConflict/combatant"
0,0,0,26,0,0,0,0,0,0,0,586," http://dbpedia.org/ontology/MilitaryConflict/commander"
0,0,0,2,0,0,0,0,0,0,0,588," http://dbpedia.org/ontology/MilitaryConflict/partOf"
0,0,0,16,0,0,0,0,0,0,0,589," http://dbpedia.org/ontology/MilitaryConflict/place"
0,0,0,6,0,0,0,0,0,0,0,590," http://dbpedia.org/ontology/MilitaryConflict/result"
0,0,0,1,0,0,0,0,0,0,0,591," http://dbpedia.org/ontology/MilitaryConflict/status"
0,0,0,8,0,0,0,0,0,0,0,592," http://dbpedia.org/ontology/MilitaryConflict/strength"
0,0,0,8,0,0,0,0,0,0,0,593," http://dbpedia.org/ontology/MilitaryConflict/territory"
0,0,0,1057,0,0,0,0,0,0,0,657," http://dbpedia.org/ontology/Musical/lyrics"
0,0,0,1090,0,0,0,0,0,0,0,658," http://dbpedia.org/ontology/Musical/musicBy"
0,0,0,178,0,0,0,0,0,0,0,659," http://dbpedia.org/ontology/MusicalArtist/associatedBand"
0,0,0,178,0,0,0,0,0,0,0,660," http://dbpedia.org/ontology/MusicalArtist/associatedMusicalArtist"
0,0,0,151,0,0,0,0,0,0,0,661," http://dbpedia.org/ontology/MusicalArtist/background"
0,0,0,86455,0,0,0,0,0,0,0,662," http://dbpedia.org/ontology/MusicalWork/artist"
0,0,0,116209,0,0,0,0,0,0,0,663," http://dbpedia.org/ontology/MusicalWork/label"
0,0,0,58652,0,0,0,0,0,0,0,664," http://dbpedia.org/ontology/MusicalWork/recordDate"
0,0,0,42974,0,0,0,0,0,0,0,665," http://dbpedia.org/ontology/MusicalWork/recordPlace"
0,0,0,10,0,0,0,0,0,0,0,673," http://dbpedia.org/ontology/Newspaper/associateEditor"
0,0,0,47,0,0,0,0,0,0,0,674," http://dbpedia.org/ontology/Newspaper/chiefEditor"
0,0,0,1342,0,0,0,0,0,0,0,675," http://dbpedia.org/ontology/Newspaper/circulation"
0,0,0,498,0,0,0,0,0,0,0,676," http://dbpedia.org/ontology/Newspaper/editor"
0,0,0,2279,0,0,0,0,0,0,0,677," http://dbpedia.org/ontology/Newspaper/format"
0,0,0,4741,0,0,0,0,0,0,0,678," http://dbpedia.org/ontology/Newspaper/headquarters"
0,0,0,2,0,0,0,0,0,0,0,679," http://dbpedia.org/ontology/Newspaper/managingEditor"
0,0,0,1770,0,0,0,0,0,0,0,680," http://dbpedia.org/ontology/Newspaper/owner"
